STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT11,WT14,WT16
USC00047916,"SANTA CRUZ, CA US",1/11/90,0,62,45,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/12/90,0.41,59,53,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/13/90,0.69,54,49,50,,1,,,,,
USC00047916,"SANTA CRUZ, CA US",1/14/90,0.59,55,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/15/90,0,59,42,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/16/90,0.32,50,43,47,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/17/90,0.11,51,33,45,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/18/90,0,58,34,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/19/90,0,59,33,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/20/90,0,66,35,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/21/90,0,64,36,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/22/90,0,61,34,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/23/90,0,65,33,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/24/90,0,69,41,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/25/90,0,73,37,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/26/90,0,62,38,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/27/90,0,63,35,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/28/90,0,67,32,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/29/90,0,63,38,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/30/90,0.25,59,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",1/31/90,0,57,34,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/1/90,0.35,58,37,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/2/90,0,61,38,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/3/90,0.41,57,41,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/4/90,0.25,58,35,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/5/90,0,60,33,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/6/90,0.02,55,44,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/7/90,0,57,30,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/8/90,0,59,32,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/9/90,0,65,42,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/10/90,0,66,39,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/11/90,0,63,39,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/12/90,0,64,47,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/13/90,0,57,34,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/14/90,0,51,34,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/15/90,0,56,25,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/16/90,1.37,49,42,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/17/90,0.89,51,35,,,,,1,,,
USC00047916,"SANTA CRUZ, CA US",2/18/90,0.04,54,31,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/19/90,0,58,30,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/20/90,0,58,31,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/21/90,0,67,41,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/22/90,0,78,38,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/23/90,0,68,42,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/24/90,0,77,45,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/25/90,0,70,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/26/90,0,60,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/27/90,0,61,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",2/28/90,0,57,41,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",3/1/90,0,55,49,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",3/2/90,0.37,55,47,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",3/3/90,1.58,63,52,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",3/4/90,0.22,54,44,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",3/5/90,0.03,64,36,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",3/6/90,0,61,38,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",3/7/90,0,62,40,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",3/8/90,0,64,35,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",3/9/90,0,63,38,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",3/10/90,0.15,54,40,,,,,,,,
